Base Formula
------------
Lv 1 -> Lv 2: Strength +1, Magic +1
Lv 2 -> Lv 3: Defense +1, Speed +1
Lv 3 -> Lv 4: Luck +1, Strength +1
Lv 4 -> Lv 5: Magic +1, Defense +1
Lv 5 -> Lv 6: Speed +1, Luck +1
Lv 6 -> Lv 7: Strength +1, Magic +1
Lv 7 -> Lv 8: Defense +1, Speed +1
Lv 8 -> Lv 9: Luck +1, Strength +1
Lv 9 -> Lv 10: Magic +1, Defense +1
Lv 10 -> Lv 11: Speed +1, Luck +1
Lv 11 -> Lv 12: Strength +1, Magic +1
Lv 12 -> Lv 13: Defense +1, Speed +1
Lv 13 -> Lv 14: Luck +1, Strength +1
Lv 14 -> Lv 15: Magic +1, Defense +1
Lv 15 -> Lv 16: Speed +1, Luck +1
Lv 16 -> Lv 17: Strength +1, Magic +1
Lv 17 -> Lv 18: Defense +1, Speed +1
Lv 18 -> Lv 19: Luck +1, Strength +1
Lv 19 -> Lv 20: Magic +1, Defense +1

Total Gains: Strength +8, Magic +8, Defense +8, Speed +7, Luck +7

Biased Formula
--------------
Lv 1 -> Lv 2: Magic +1, Speed +1
Lv 2 -> Lv 3: Luck +1, Strength +1
Lv 3 -> Lv 4: Defense +1, Magic +1
Lv 4 -> Lv 5: Speed +1, Luck +1
Lv 5 -> Lv 6: Strength +1, Defense +1
Lv 6 -> Lv 7: Magic +1, Speed +1
Lv 7 -> Lv 8: Luck +1, Strength +1
Lv 8 -> Lv 9: Defense +1, Magic +1
Lv 9 -> Lv 10: Speed +1, Luck +1
Lv 10 -> Lv 11: Strength +1, Defense +1
Lv 11 -> Lv 12: Magic +1, Speed +1
Lv 12 -> Lv 13: Luck +1, Strength +1
Lv 13 -> Lv 14: Defense +1, Magic +1
Lv 14 -> Lv 15: Speed +1, Luck +1
Lv 15 -> Lv 16: Strength +1, Defense +1
Lv 16 -> Lv 17: Magic +1, Speed +1
Lv 17 -> Lv 18: Luck +1, Strength +1
Lv 18 -> Lv 19: Defense +1, Magic +1
Lv 19 -> Lv 20: Speed +1, Luck +1

Total Gains: Strength +7, Magic +8, Defense +7, Speed +8, Luck +8
